"Manage Gift Cards","Beheer cadeau kaarten"
"Add New Gift Card","Voeg nieuwe gift kaart in"
"Save Gift Card","Sla cadeau kaart op"
"Delete Gift Card","Verwijder cadeau kaart"
"Resend Gift Card","Verstuur nogmaals cadeau kaart"
"Edit Gift Card '%s'","Bewerk cadeau kaart '%s'"
"New Gift Card","Nieuwe cadeau kaart"
"Card ID","Kaart ID"
"Card Code","Kaart Code"
"Initial Value","Beginwaarde"
"Current Balance","Huidig saldo"
"Order","Bestellen"
"View","Bekijk"
"Date Created","Aanmaak datum"
"Card Type","Kaart Type"
"Print,"Print"
"E-mail","E-mail"
"Offline","Offline"
"Status","Status"
"Active","Actief"
"Inactive","Inactief"
"Used","Gebruikt"
"Delete","Verwijder"
"Are you sure?","Weet u het zeker?"
"Resend","Herstuur"
"Manage Gift Cards","Beheer cadeau kaarten"
"Gift Card Information","Cadeau kaart informatie"
"Gift Card Information","Cadeau kaart informatie"
"Gift Card Info","Cadeau kaart Info"
"Card Code","Kaart Code"
"Initial Value","Beginwaarde"
"Order","Bestel"
"Initial Value","Beginwaarde"
"Current Balance","Huidig saldo"
"Status","Status"
"Active","Actief"
"Inactive","Inactief"
"Gift Card Type","Cadeau kaart Type"
"E-mail","E-mail"
"Print","Print"
"Recipient Info","Ontvanger info"
"Offline Address (for offline cards only)","Offline adres (alleen voor offline kaarten)"
"To Name","Voor naam"
"To Email","Naar Email"
"From Name","Van Naam"
"Message","Bericht"
"Card amount is not within the specified range.","Kaart bedrag niet binnen het opgegeven bereik."
"%s was added to your shopping cart.","%s werd toegevoegd aan uw winkelwagen."
"Cannot add the item to shopping cart.","Kan het item niet toevoegen aan de winkelwagen."
"To redeem your gift card or to use your gift card balance you need to be logged in.","Om uw cadeau kaart te gebruiken moet u ingelogd zijn."
"Gift Card '%s' was applied.","Cadeau kaart '%s' is toegepast."
"Gift Card '%s' is not valid.","Cadeau kaart '%s' is niet geldig."
"To redeem your gift card or to use your gift card balance you need to be logged in.","Om uw cadeau kaart te gebruiken moet u ingelogd zijn."
"To redeem your gift card you need to be logged in.","Om uw cadeau kaart te gebruiken moet u ingelogd zijn."
"Gift Card '%s' was applied.","Cadeau kaart '%s' is toegepast."
"Gift Card '%s' is not valid.","Cadeau kaart '%s' is niet geldig."
"Gift Card '%s' was used.,'Cadeau kaart '%s' is gebruikt.'"
"Gift Cards","Cadeau kaarten"
"Gift Card","Cadeau kaart"
"Card does not exists","Kaart bestaat niet"
"Gift card was successfully saved","Cadeau kaar is opgeslagen"
"Unable find gift card to save","Kaart niet gevonden om op te slaan"
"Gift card was successfully deleted","Cadeau kaart is succesvol verwijderd"
"Please select gift card(s)","Selecteer cadeau kaart(en)"
"Total of %d geftcard(s) were successfully deleted","Totaal van %d cadeau kaarten werden succesvol verwijderd"
"Please select gift card(s)","Selecteer cadeau kaart(en)"
"%d giftcard(s) were successfully resent","%d Cadeau kaart(en) zijn succesvol herstuurd"
"There was an error processing your order. Please contact us or try again later.","Er is een fout opgetreden bij uw bestelling, neem contact met ons op of probeer het later opnieuw."
"Please specify the product\'s option(s).","Specificeer de produkt optie(s)."
"My Gift Cards","Mijn cadeau kaart(en)"
"My Gift Card balance","Mijn cadeau kaart balans"
"Enter the Gift Card code","Voer de cadeau kaart code in"
"Redeem","Inlossen"
"Card Type","Kaart Type"
"Move to Wishlist","Verplaats naar verlanglijst"
"Gift Gards","Cadeau kaarten"
"Use my Gift Card balance.","Gebruik mijn cadeau kaart saldo."
"Or redeem and use your Gift Card now:","Of vul uw cadeau kaart nu in:"
"Redeem and Use","Gebruik"
"To use your gift cards, please <a href='%s'>register</a> or <a href='%s'>log in</a>.","Om uw cadeau kaart te gebruiken,  <a href='%s'>registreer</a> of <a href='%s'>log in</a>."
"Choose the type of Gift Card","Kies het type cadeau kaart"
"E-mail Gift Card (to someone or yourself)","E-mail Cadeau kaart (naar iemand of jezelf)"
"Print-Out Gift Card","Print cadeau kaart uit"
"Amount","Bedrag"
"Recipient E-mail","E-mail ontvanger"
"To","Voor"
"From","Van"
"Message","Bericht"
"Used Gift Cards","Gebruikte cadeau kaart"
"Total Gift Cards Amount","Totaal cadeau kaart bedrag"
"Redeem and use your Gift Card now","Gebruik uw cadeau kaart nu"
"Check Gift Card Balance:","Controleer cadeau kaart saldo:"
"Purchased Gift Cards","Gekochte cadeau kaarten"
"Used Gift Cards","Gebruikte cadeau kaarten"
"Pre-Generated Codes","Voor gegenereerde cadeau kaart Codes"
"Gift Cards import","Cadeau kaarten import"
"On Sale","Uitverkoop"
"Sold","Uitverkocht"
"Export Gift Cards","Export Cadeau kaarten"
"List ID","Lijst ID"
"Filename","Bestandsnaam"
"Date Created","Gecreeërde datum"
"Action","Actie"
"Download","Download"
"Export Settings","Export Settings"
"File type for export","File type voor export"
"Path to file","Pad naar bestand"
"Value delimiter","waarde delimiter"
"Enclose Values In","Omsluit Waarden In"
"Export Parameters","Export Parameters"
"Cards type for export","Kaart type voor export"
"All","Alle"
"Email","Email"
"Cards status for export","Kaarten status voor export"
"Import Gift Cards","Import Cadeau kaarten"
"Download Gift Cards Created Lists","Download cadeau kaarten gecreeërde lijsten"
"Create Gift Cards","Creeër cadeau kaarten"
"Import Gift Cards","Importeer Cadeau kaarten"
"Path to file for Gift Cards","Pad naar het bestand van cadeau kaarten"
"Path to export Cards Code","Path naar kaarten Code"
"Count of Gift Cards","Telling van cadeau kaarten"
"Gift Cards Amount","Cadeau kaart bedrag"
"Import Gift Cards","Importeer cadeau kaarten"
